count	word
8933	©
7940	cells
6165	expression
5833	cell
5301	increased
5057	also
4577	mice
4570	results
4262	levels
4235	protein
4180	activity
4131	rats
3874	study
3666	showed
3654	effect
3653	effects
3556	observed
3538	may
3402	induced
3318	role
3287	using
3203	present
3133	reduced
3122	response
3120	control
3092	treatment
2965	different
2890	increase
2871	associated
2838	gene
2775	compared
2762	insulin
2718	human
2718	two
2635	however,
2606	found
2520	elsevier
2442	production
2407	used
2329	presence
2326	data
2322	high
2316	important
2270	higher
2257	significantly
2239	patients
2213	immune
2190	±
2175	2
2141	activation
2132	suggest
2123	involved
2107	inflammatory
2094	receptor
2083	well
2074	cells.
2048	blood
2036	decreased
2030	1
2019	group
2010	rights
1976	analysis
1941	=
1938	significant
1938	reserved.
1911	t.
1866	genes
1864	glucose
1862	animals
1831	dna
1824	changes
1800	responses
1746	studies
1733	investigated
1730	development
1729	proteins
1728	several
1723	evaluated
1711	one
1679	tissue
1665	could
1651	isolated
1642	acid
1640	mechanisms
1639	specific
1618	acute
1615	mrna
1609	new
1605	infection
1582	muscle
1576	strains
1571	show
1571	treated
1568	samples
1564	number
1526	tumor
1522	p.
1520	similar
1520	rats.
1508	h
1475	
1464	first
1453	detected
1437	species
1437	three
1423	disease
1423	neurons
1417	cells,
1417	growth
1406	chronic
1400	factor
1385	days
1373	related
1364	whereas
1355	serum
1354	rat
1352	mice.
1349	study,
1344	inc.
1339	inhibition
1337	caused
1335	molecular
1334	male
1330	indicate
1329	potential
1326	plasma
1307	reduction
1302	revealed
1299	type
1288	resistance
1275	function
1274	<
1269	clinical
1266	obtained
1265	antibodies
1263	findings
1256	vitro
1250	low
1234	ltd.
1230	shown
1226	groups
1224	although
1223	among
1222	infected
1216	system
1204	demonstrated
1194	(p
1181	model
1181	isolates
1174	lower
1156	identified
1155	including
1140	central
1136	presented
1132	macrophages
1130	either
1129	expressed
1124	renal
1121	parasite
1119	et
1118	total
1118	lung
1117	cruzi
1107	due
1101	results:
1099	3
1096	experimental
1096	known
1079	signaling
1078	decrease
1069	release
1063	produced
1060	time
1058	suggesting
1042	rate
1042	addition,
1041	nitric
1037	10
1028	major
1027	performed
