,eid,citedby_count,publicationName,author_names,coverDate,coverYear,category
0,2-s2.0-85026795152,1.0,American Journal of Physiology - Renal Physiology,"Castelo-Branco, Regiane Cardoso;Leite-Dellova, Deise C.A.;Fernandes, Fernanda Barrinha;Malnic, Gerhard;de Mello-Aires, Margarida",2017-08-02,2017,1.0
1,2-s2.0-85048358078,1.0,Kidney and Blood Pressure Research,"De Ponte, Mariana Charleaux;Casare, Fernando Augusto Malavazzi;Costa-Pessoa, Juliana Martins;Cardoso, Vanessa Gerolde;Malnic, Gerhard;Mello-Aires, Margarida;Volpini, Rildo Aparecido;Thieme, Karina;Oliveira-Souza, Maria",2017-01-01,2017,2.0
2,2-s2.0-84964579568,4.0,Biochimica et Biophysica Acta - General Subjects,"Arnaud-Batista, Francisco J.;Peruchetti, Diogo B.;Abreu, Thiago P.;Do Nascimento, Nilberto R.F.;Malnic, Gerhard;Fonteles, Manasses C.;Caruso-Neves, Celso",2016-07-01,2016,2.0
3,2-s2.0-84957593399,8.0,PLoS ONE,"Beltrán, Ana R.;Carraro-Lacroix, Luciene R.;Bezerra, Camila N.A.;Cornejo, Marcelo;Norambuena, Katrina;Toledo, Fernando;Araos, Joaquín;Pardo, Fabián;Leiva, Andrea;Sanhueza, Carlos;Malnic, Gerhard;Sobrevia, Luis;Ramírez, Marco A.",2015-12-01,2015,2.0
4,2-s2.0-84955301664,24.0,American Journal of Physiology - Renal Physiology,"Farah, Lívia X.S.;Valentini, Vanessa;Pessoa, Thaissa D.;Malnic, Gerhard;McDonough, Alicia A.;Girardi, Adriana C.C.",2015-10-07,2015,2.0
5,2-s2.0-84945185747,4.0,American Journal of Physiology - Cell Physiology,"De Morais, Carla P.Carneiro;Polidoro, Juliano Z.;Ralph, Donna L.;Pessoa, Thaissa D.;Oliveira-Souza, Maria;Barauna, Valério G.;Rebouças, Nancy A.;Malnic, Gerhard;McDonough, Alicia A.;Girardi, Adriana C.C.",2015-01-01,2015,2.0
6,2-s2.0-84921374693,46.0,Journal of the American Society of Nephrology,"Pessoa, Thaissa Dantas;Campos, Luciene Cristina Gastalho;Carraro-Lacroix, Luciene;Girardi, Adriana C.C.;Malnic, Gerhard",2014-09-01,2014,1.0
7,2-s2.0-84958880493,0.0,"Microelectrodes: Techniques, Structures for Biosensing and Potential Applications","Lessa, Lucília M.A.;Malnic, G.",2014-01-01,2014,1.0
8,2-s2.0-84946708692,0.0,Handbook of H+-ATPases,"Carraro-Lacroix, Luciene Regina;Pessoa, Thaíssa Dantas;Malnic, Gerhard",2014-01-01,2014,1.0
9,2-s2.0-84900796651,5.0,Acta Physiologica,"Crajoinas, R. O.;Pessoa, T. D.;Rodrigues, M. V.;Malnic, G.;Girardi, A. C.C.",2014-01-01,2014,2.0
