,word,count
0,the,6576
1,of,5381
2,and,4829
3,in,3782
4,to,2381
5,a,1963
6,with,1370
7,for,1194
8,cells,1109
9,by,1087
10,that,1075
11,was,1008
12,were,946
13,is,926
14,as,860
15,this,674
16,cell,600
17,an,591
18,we,587
19,are,561
20,from,553
21,on,511
22,expression,411
23,these,406
24,or,381
25,treatment,350
26,be,347
27,have,322
28,p,312
29,at,301
30,study,287
31,also,286
32,gene,282
33,mice,282
34,after,279
35,which,274
36,human,272
37,results,271
38,using,263
39,new,254
40,not,254
41,stem,252
42,their,240
43,cancer,239
44,effects,237
45,development,222
46,therapy,219
47,drug,219
48,response,216
49,patients,216
50,all,215
51,been,214
52,il,213
53,activity,213
54,used,212
55,its,209
56,has,200
57,t,199
58,protein,198
59,showed,197
60,both,191
61,observed,191
62,dna,184
63,different,183
64,may,180
65,increased,177
66,immune,176
67,effect,176
68,associated,176
69,against,176
70,chemotherapy,174
71,induced,172
72,our,171
73,such,168
74,disease,164
75,tumor,164
76,vitro,163
77,lung,162
78,cd,162
79,drugs,158
80,potential,157
81,use,157
82,levels,157
83,genes,157
84,reduced,153
85,can,152
86,proteins,148
87,but,148
88,b,147
89,into,144
90,role,143
91,most,143
92,it,142
93,mesenchymal ,140
94,tissue,140
95,compared,139
96,present,137
97,during,137
98,several,136
99,fa,134
100,increase,133
101,control,131
102,studies,131
103,production,131
104,function,129
105,important,128
106,more,128
107,immunotherapy,127
108,h,123
109,bone,121
110,therapeutic,121
111,analysis,120
112,than,120
113,mechanisms,118
114,resistance,118
115,diseases,118
116,high,118
117,well,118
118,inflammation,117
119,c,117
120,vivo,116
121,rats,116
122,however,115
123,methods,115
124,proliferation,114
125,found,114
126,one,114
127,other,114
128,inflammatory,113
129,natural,112
130,data,110
131,no,110
132,pharmacokineticss,109
133,elsevier,109
134,group,109
135,only,109
136,two,106
137,evaluated,106
138,peptide,105
139,clinical,104
140,growth,103
141,model,103
142,products,103
143,specific,103
144,survival,102
145,between,102
146,m,102
147,involved,100
148,when,100
149,respectively,100
150,compounds,98
151,significant,98
152,animals,98
153,skin,97
154,treated,97
155,could,97
156,thus,97
157,obtained,97
158,cellular,95
159,addition,95
160,renal,94
161,activation,94
162,first,94
163,effective,93
164,molecular,92
165,allergic,92
166,differentiation,92
167,number,92
168,exposure,91
169,here,91
170,reserved,90
171,muscle,89
172,target,89
173,mscs,89
174,investigated,88
175,rights,88
176,factor,87
177,pathway,87
178,responses,86
179,isolated,86
180,molecules,86
181,promising,85
182,further,85
183,some,84
184,delivery,83
185,blood,83
