word,count
metabolism,414
exercise,378
rats,359
diabetes,274
resistance,243
glucose,232
obesity,208
muscle,204
adipose,176
tissue,175
metabolic,174
rat,174
secretion,169
training,163
inflammation,161
mitochondrial,155
diet,137
islets,134
pancreatic,133
expression,132
cells,129
fatty,127
receptor,126
cachexia,117
effect,117
skeletal,113
protein,106
effects,104
cancer,103
function,102
mice,102
mellitus,101
acid,99
glut,99
melatonin,98
liver,98
cell,96
acids,93
mitochondria,89
role,86
type,84
activity,82
leptin,81
physical,78
temperature,77
stress,76
signaling,75
macrophages,74
walker,71
lipid,71
tumor,70
oxidative,69
induced,68
changes,67
response,65
dietary,64
supplementation,63
cytokines,63
growth,63
glutamine,62
gene,62
disease,61
pathway,61
system,61
dysfunction,60
nitric,60
oxide,60
diabetic,60
sensitivity,58
isolated,58
control,58
highfat,56
oxygen,56
hypothalamus,56
endothelial,52
heart,52
macrophage,52
acute,51
energy,50
inflammatory,49
apoptosis,49
hypertension,49
activation,49
immune,47
improves,47
treatment,46
restriction,46
body,46
increases,46
lymphocytes,45
adipocytes,44
cardiac,44
vascular,43
hepatic,43
akt,42
factor,42
glycogen,41
kinase,41
induces,41
pineal,40
reactive,40
species,40
modulation,40
food,40
oil,39
membrane,39
regulation,39
aerobic,39
blood,38
lipogenesis,38
chronic,38
hormone,37
dietinduced,37
gland,36
action,36
synthesis,36
diets,36
production,35
high,35
amino,35
carnitine,35
lactation,35
oxidase,34
release,34
lipolysis,34
tumour,34
associated,34
nadph,32
early,32
content,32
intake,32
obese,32
pathways,31
gluconeogenesis,31
reduces,31
lung,30
aging,30
signalling,30
proteins,30
development,30
autonomic,30
experimental,30
renal,29
proliferation,29
model,29
substrate,29
possible,29
fat,28
pregnancy,28
pressure,28
intrauterine,28
failure,28
central,28
inhibition,28
tyrosine,28
human,27
palmitate,27
malnutrition,27
sympathetic,27
neutrophils,27
cytokine,27
weight,27
fed,27
oxidation,26
superoxide,26
glutamate,26
mass,26
nervous,26
syndrome,26
glycolysis,26
lymphocyte,26
glucoseinduced,26
calcium,25
feeding,25
ii,25
brain,25
transporter,25
decreases,25
mechanisms,25
fish,24
female,24
aged,24
monosodium,24
wistar,24
low,24
homeostasis,24
carbohydrate,24
white,24
cycle,24
palmitoyltransferase,24
levels,24
potential,23
profile,23
synthase,23
hypothalamic,23
trypanosoma,23
uptake,23
ppar,23
offspring,23
modulates,23
genes,22
reactivity,22
hypertensive,22
consumption,22
il,22
nfb,22
cruzi,22
transport,22
phosphorylation,22
thyroid,22
impairs,22
adult,22
patients,22
beta,21
necrosis,21
responses,21
c,21
neurons,21
loss,21
cardiovascular ,21
insulininduced,21
tumorbearing,21
longterm,21
regulates,21
dehydrogenase,20
maternal,20
pinealectomy,20
enzymes,20
glutathione,20
diseases,20
angiotensin,20
adrenergic,20
transporters,20
mrna,20
responsiveness,20
causes,20
increased,20
undernutrition,19
receptors,19
cholesterol,19
soleus,19
salivary,19
plasmodium,19
respiratory,19
behavior,19
impaired,19
involved,19
dna,18
erk,18
matrix,18
mesenteric,18
enzyme,18
mouse,18
nucleus,18
p,18
phosphatidylinositol,18
balance,18
via,18
activities,18
rate,17
permeability,17
death,17
lipopolysaccharide,17
extracellular,17
nutrition,17
spontaneously,17
b,17
streptozotocin,17
functional,17
adaptations,17
adipocyte,17
hypoglycemia,17
systemic,17
molecular,17
prevents,17
inhibits,17
enhances,17
different,17
sodium,16
injury,16
glucocorticoids,16
target,16
bone,16
kidney,16
factors,16
mechanism,16
plasma,16
redox,16
nutritional,16
brown,16
prostaglandins,16
implications,16
thermoregulation,16
reduced,16
intracellular,16
hypothermia,16
fever,16
yeast,16
moderate,16
increase,16
affects,16
male,16
related,16
irs,15
islet,15
free,15
ca,15
fasting,15
remodeling,15
vitamin,15
nerve,15
lps,15
peptide,15
glycemic,15
motor,15
polyunsaturated,15
neutrophil,15
glutaminolysis,15
interaction,15
therapy,15
study,15
without,15
peripheral,15
allergic,14
pkc,14
composition,14
metformin,14
collagen,14
microvascular,14
migration,14
hypertrophy,14
meal,14
parkinsons,14
plasticity,14
leukocytes,14
lipids,14
tissues,14
krebs,14
glands,14
impairment,14
new,14
protects,14
tubular,13
disorders,13
peroxisome,13
dexamethasone,13
pyruvate,13
lglutamine,13
phosphate,13
flow,13
neuronal,13
cox,13
slca,13
immunity,13
insulinlike,13
uncoupling,13
primary,13
exposure,13
myocardial,13
recovery,13
damage,13
area,13
falciparum,13
caloric,13
transition,13
outer,13
evidence,13
involvement,13
parameters,13
attenuates,13
alterations,13
lpsinduced,13
promotes,13
vivo,13
decreased,13
key,13
nephropathy,12
rapamycin,12
proliferatoractivated,12
antioxidant,12
arginine,12
contraction,12
phagocytosis,12
advanced,12
signal,12
drug,12
bioenergetics,12
coupling,12
beneficial,12
association,12
novel,12
impact,12
influence,12
h,11
alkalosis,11
glycemia,11
cellular,11
peroxidation,11
review,11
stat,11
mealfeeding,11
epinephrine,11
cyclic,11
leucine,11
anion,11
adhesion,11
leukocyte,11
peptides,11
alveolar,11
inos,11
glioma,11
differentiation,11
intolerance,11
ampk,11
streptozotocininduced,11
transcriptional,11
status,11
daily,11
structural,11
nuclear,11
creatine,11
saturated,11
knockout,11
state,11
organs,11
hormones,11
axis,11
saccharomyces,11
cerevisiae,11
proinflammatory,11
neonatal,11
glucosestimulated,11
steps,11
administration,11
healthy,11
absence,11
acidification,10
hydrogen,10
peroxide,10
fetal,10
programming,10
igf,10
circadian,10
soybean,10
flux,10
dopamine,10
efflux,10
schedule,10
prostanoids,10
bradykinin,10
tetrahydrobiopterin,10
hyperglycemia,10
electron,10
stem,10
muscles,10
calorie,10
socs,10
ethanol,10
lipase,10
health,10
analysis,10
aspartate,10
malaria,10
rhythm,10
na,10
k,10
adaptation,10
synaptic,10
endurance,10
single,10
lymphoid,10
ageing,10
hypothyroidism,10
triiodothyronine,10
sepsis,10
strength,10
chain,10
animal,10
young,10
reduction,10
performance,10
dehydroepiandrosterone,10
dyslipidemia,10
markers,10
exerciseinduced,10
differentially,10
mediators,10
stimulates,10
shortterm,10
targets,10
proximal,9
acidosis,9
reaction,9
asthma,9
complex,9
ros,9
rosiglitazone,9
pik,9
corticosterone,9
inhibitor,9
hyperactivity,9
microscopy,9
arterial,9
denervation,9
leukotrienes,9
cinc,9
fatrich,9
autophagy,9
hexokinase,9
l,9
transcription,9
tick,9
transduction,9
binding,9
stimulus,9
utilization,9
urinary,9
infarction,9
prostaglandin,9
proinsulin,9
natural,9
reproduction,9
agonist,9
alzheimers,9
infection,9
expenditure,9
de,9
quality,9
adiposity,9
immunometabolism,9
antiinflammatory,9
nlrp,9
independently,9
improvement,9
restores,9
generation,9
hormonal,9
cultured,9
perfused,9
ph,8
hypochloremic,8
estrogen,8
subunit,8
reductase,8
tolerance,8
omega,8
retina,8
map,8
dhea,8
pka,8
channels,8
fluxes,8
lactate,8
reninangiotensin,8
microcirculation,8
culture,8
aorta,8
memory,8
tnf,8
transfer,8
heat,8
microrna,8
glycation,8
periodontitis,8
sglt,8
sea,8
innate,8
models,8
treadmill,8
bdnf,8
handling,8
hypoglycaemia,8
adipogenesis,8
ucp,8
breakdown,8
morphology,8
cytochrome,8
thermogenesis,8
ratio,8
tolllike,8
genetic,8
regulatory,8
gut,8
dectin,8
myd,8
deletion,8
acidinduced,8
stimulussecretion,8
distinct,8
alters,8
brazilian,8
inducing,8
modulate,8
aspects,8
actions,8
required,8
potassium,7
chagas,7
clinical,7
clock,7
unbalanced,7
serum,7
conditions,7
iv,7
placenta,7
angiogenesis,7
parasite,7
atherosclerosis,7
soy,7
assay,7
gestational,7
murine,7
glycerol,7
gsk,7
supplements,7
skin,7
differential,7
healing,7
processing,7
surgery,7
atp,7
alpha,7
lalanine,7
brazil,7
shc,7
indomethacin,7
thymus,7
nutrients,7
preoptic,7
products,7
vitro,7
oligopeptidase,7
shock,7
anorexia,7
point,7
translation,7
mtor,7
novo,7
tgf,7
inflammasome,7
lcarnitine,7
intensity,7
capacity,7
innervation,7
exhaustive,7
dorsomedial,7
medulla,7
substrates,7
therapeutic,7
infinf,7
two,7
stzinduced,7
alter,7
exercised,7
upon,7
specific,7
glutamatetreated,7
profiles,7
modulated,7
due,7
acutely,7
caused,7
n,7
bicarbonate,6
intestinal,6
mediumchain,6
intervention,6
basal,6
nadphoxidase,6
e,6
smooth,6
minalrestat,6
age,6
mortality,6
oxytocin,6
paraventricular,6
hemodynamic,6
norepinephrine,6
density,6
vegf,6
histone,6
mapk,6
biosynthesis,6
translational,6
reverse,6
corpus,6
sunflower,6
submandibular,6
gh,6
concentration,6
hifa,6
temperatures,6
wound,6
fibrosis,6
mandibular,6
ultrastructure,6
anaerobic,6
intermittent,6
camp,6
glycogenolysis,6
iron,6
acidrich,6
stimulation,6
caspase,6
components,6
pump,6
lymph,6
nodes,6
dependent,6
pentosephosphate,6
lead,6
intestine,6
tem,6
cart,6
transcript,6
chemical,6
artery,6
endotoxin,6
febrile,6
tlr,6
vasopressin,6
heme,6
leukemia,6
caspases,6
rupture,6
repression,6
immunoreactivity,6
gain,6
susceptibility,6
nafld,6
steatosis,6
lipoprotein,6
morbid,6
polarization,6
differences,6
mtorc,6
palmitoleic,6
atpase,6
nephrotoxicity,6
airway,6
modifies,6
improved,6
activates,6
associates,6
erratum,6
pinealectomized,6
incubated,6
evaluation,6
obesityassociated,6
molecule,6
pregnant,6
individuals,6
affect,6
involves,6
translocation,6
blockade,6
sedentary,6
transient,6
adapted,6
identification,6
trained,6
tumourbearing,6
comparative,6
maximal,6
cachectic,6
reverses,6
ovary,6
apoptotic,6
affecting,6
therapies,6
excretion,5
reabsorption,5
ion,5
bacterial,5
mast,5
aanat,5
nox,5
larginine,5
mechanistic,5
nos,5
pancreas,5
propionate,5
outflow,5
ionic,5
rb,5
carboxylase,5
marrow,5
endothelium,5
traininginduced,5
baroreflex,5
pge,5
deficiency,5
variability,5
glycated,5
hypoxia,5
hydroxy,5
methylbutyrate,5
cotransporter,5
polya,5
tail,5
viral,5
captopril,5
fibronectin,5
physiology,5
global,5
asparagine,5
transmission,5
fuel,5
variations,5
oral,5
ohda,5
neuroinflammation,5
prolonged,5
factorb,5
fatigue,5
weaned,5
snitrosylation,5
cyclopentenone,5
highintensity,5
ureagenesis,5
coronary,5
carcinosarcoma,5
fate,5
adrenaline,5
small,5
pdx,5
laser,5
old,5
myenteric,5
bariatric,5
bladder,5
ischemiareperfusion,5
relaxing,5
peptidase,5
thimet,5
lname,5
set,5
phase,5
essential,5
cfos,5
level,5
multiple,5
adipokines,5
complement,5
atrophy,5
long,5
risk,5
eicosapentaenoic,5
children,5
spleen,5
jak,5
visceral,5
highprotein,5
aminotransferase,5
lupus,5
erythematosus,5
extract,5
breathing,5
cd,5
th,5
fasted,5
ovariectomized,5
modifications,5
generations,5
retinal,5
participates,5
intact,5
nonactivated,5
presence,5
dglucose,5
exposed,5
physiological,5
aortic,5
circulating,5
could,5
correction,5
participation,5
short,5
atorvastatin,5
ameliorates,5
benefits,5
adjustments,5
normotensive,5
properties,5
sequence,5
sites,5
postpartum,5
distribution,5
marked,5
studies,5
prolactin,5
time,5
importance,5
acidsrich,5
modulating,5
suppression,5
functions,5
exacerbates,5
progression,5
micropuncture,4
advance,4
organizer,4
kinetics,4
ischemia,4
subunits,4
nocturnal,4
menopause,4
senescence,4
isoforms,4
lard,4
phospholipids,4
langerhans,4
loading,4
amp,4
females,4
laminin,4
molecules,4
venom,4
myometrium,4
gracilis,4
hindlimb,4
oxytocinergic,4
metaboreflex,4
measurements,4
capillary,4
v,4
areas,4
leukotriene,4
icam,4
seasonal,4
catabolism,4
radicals,4
targeting,4
albumin,4
lesions,4
sirt,4
periodontal,4
shift,4
subcutaneous,4
emsa,4
shr,4
angiotensinconverting,4
cigarette,4
hyperlipidic,4
resistive,4
kinuse,4
line,4
metalloproteinases,4
western,4
leishmaniasis,4
echinometra,4
lucunter,4
lytechinus,4
variegatus,4
tropical,4
homocysteine,4
cartilage,4
orthopedics,4
condyle,4
mechanical,4
doxorubicin,4
temperaturesensitive,4
epidemiology,4
host,4
microbiota,4
disturbances,4
arylalkylaminenacetyltransferase,4
hydroxylase,4
rhythmic,4
acrobatic,4
stimuli,4
cortex,4
immunology,4
hmb,4
glycaemia,4
palmitic,4
athletes,4
session,4
chemotherapeutics,4
multidrug,4
clenbuterol,4
naproxen,4
intermediary,4
morphometry,4
periodicity,4
enriched,4
bran,4
water,4
decarboxylation,4
glucosephosphate,4
peroxidase,4
dismutase,4
pseudomonas,4
infections,4
hippocampus,4
neurodegeneration,4
endocrine,4
iodine,4
excess,4
cytoskeleton,4
eefa,4
inse,4
photobiomodulation,4
immunohistochemistry,4
hrsem,4
active,4
behaviors,4
sensitization,4
region,4
neuropeptides,4
neuropeptide,4
cavernosum,4
relaxation,4
endotheliumderived,4
glp,4
epilepsy,4
proteasome,4
endopeptidase,4
neurolysin,4
suppressor,4
behavioral,4
nucleotides,4
oxygenase,4
inner,4
interactions,4
unfolded,4
coenzyme,4
q,4
mutants,4
appetite,4
exercises,4
dose,4
salt,4
events,4
muscular,4
cancercachexia,4
steroid,4
interdisciplinary,4
cpt,4
triacylglycerol,4
kupffer,4
killer,4
staphylococcus,4
trial,4
metabolismrelated,4
linolenic,4
gammalinolenic,4
dental,4
branchedchain,4
energetic,4
polymorphism,4
lacrimal,4
phosphotyrosine,4
phosphatase,4
activator,4
pp,4
substance,4
pi,4
tsc,4
nucleotide,4
acyltransferase,4
carbohydratefree,4
contractility,4
imbalance,4
mitophagy,4
hsp,4
regulated,4
metabolite,4
chemotherapy,4
proline,4
onset,4
peritoneal,4
cisplatin,4
spectrometry,4
oblongata,4
cleavage,4
power,4
autoimmune,4
pattern,4
kinin,4
contribute,4
noncoding,4
degeneration,4
lowprotein,4
contribution,4
oleic,4
mt,4
febs,4
letters,4
doi,4
jfebslet,4
interfering,4
modulatory,4
bcell,4
controlled,4
secretory,4
end,4
reproductive,4
developing,4
normalizes,4
maintenance,4
temporal,4
neural,4
modulator,4
intercellular,4
using,4
biological,4
deficient,4
improve,4
insulintreated,4
insulinsensitive,4
higher,4
use,4
independent,4
normal,4
weaning,4
adulthood,4
rickettsia,4
rickettsii,4
urchin,4
case,4
reduce,4
randomized,4
adaptability,4
retrochiasmatic,4
site,4
requires,4
regions,4
mesenchymal ,4
disruption,4
underlying,4
combined,4
livers,4
exercisetrained,4
submitted,4
raises,4
timedependent,4
mutation,4
incorporation,4
bearing,4
insulinstimulated,4
comparison,4
subjected,4
several,4
induction,4
upregulation,4
direct,4
bioavailability,4
compartments,4
inactivation,4
receptorexpressing,4
relationship,4
sf,4
characterization,4
ppardependent,4
prevent,4
treat,4
depotspecific,4
sensor,4
nutrient,4
allergy,3
nadh,3
strains,3
insulinemia,3
sensors,3
flavonoids,3
olive,3
fractional,3
phosphoinositide,3
rubidium,3
betacell,3
starvation,3
regularfasting,3
singlefasting,3
arteriolar,3
bed,3
antagonism,3
microvessels,3
gender,3
hippocampal,3
embryonic,3
actin,3
venules,3
brainstem,3
parasympathetic,3
bloodbrain,3
barrier,3
benefit,3
outcomes,3
tractus,3
solitarii,3
left,3
thoracic,3
spontaneous,3
arterioles,3
tachycardia,3
clp,3
rtpcr,3
ib,3
arachidonic,3
polar,3
trypanosomatids,3
tryptophan,3
thiamine,3
chloroplasts,3
thi,3
endproducts,3
gluconeogenic,3
birth,3
unsaturated,3
inhibitors,3
insulinsignaling,3
rnase,3
thymoma,3
oucogene,3
mef,3
alloxan,3
transforming,3
highsodium,3
sensitive,3
insulinresistance,3
bme,3
foods,3
leishmania,3
fibroblast,3
biomarker,3
coelomocytes,3
warming,3
butyrate,3
rising,3
histological,3
bacteria,3
crocodilian,3
mucosal,3
arylalkylamine,3
nacetyltransferase,3
fluid,3
biochemical,3
neuroplasticity,3
synaptophysin,3
ampa,3
outcome,3
parenteral,3
pharmaceutical,3
care,3
alanine,3
crosstolerance,3
immunosuppression,3
eating,3
candidacidal,3
mrpgsx,3
ammonia,3
oat,3
wheat,3
mg,3
myocardium,3
gsx,3
triglyceride,3
efficiency,3
elderly,3
air,3
like,3
pikakt,3
betahydroxybetamethylbutyrate,3
pain,3
mucosa,3
cadmium,3
scanning,3
pag,3
morphine,3
tubule,3
sleep,3
cocaine,3
amphetamineregulated,3
smoke,3
engineering,3
coding,3
gmp,3
symptoms,3
contractile,3
pulmonary,3
adenosine,3
discovery,3
erythrina,3
adaptive,3
pore,3
cognitive,3
cyclooxygenase,3
critical,3
hypotension,3
hyperthermia,3
depression,3
anapyrexia,3
neuron,3
drugs,3
satellite,3
permeabilization,3
calorimetry,3
nitrogen,3
environmental,3
aedes,3
aegypti,3
mscp,3
neurological,3
amidotransferase,3
thioredoxin,3
assembly,3
myopathy,3
ferredoxin,3
aldehyde,3
neurotrophic,3
knee,3
osteoarthritis,3
sex,3
neurodegenerative,3
detraining,3
chia,3
fitness,3
wasting,3
crosstalk,3
adiponectin,3
transferase,3
phagocytic,3
aureus,3
inositol,3
hexakisphosphate,3
restricted,3
program,3
progressive,3
complexity,3
life,3
parkinson,3
dicer,3
eicosanoids,3
dormancy,3
tupinambis,3
merianae,3
ruthenium,3
acyl,3
coa,3
agents,3
caries,3
luteinizing,3
sucrose,3
msg,3
transducer,3
highfructose,3
fructose,3
glucagon,3
triglycerides,3
hydroxysteroid,3
noradrenaline,3
agonism,3
dynamics,3
fission,3
pharmacological,3
ventricular,3
malarial,3
cafeteria,3
dc,3
sugar,3
whey,3
nitrergic,3
phenylephrine,3
tc,3
element,3
snps,3
downregulation,3
confers,3
partial,3
stimulated,3
show,3
isoenergetic,3
triiodolthyronine,3
neonatally,3
channeling,3
doses,3
impair,3
oscillations,3
pancreaticcells,3
nonmitochondrial,3
perinatal,3
process,3
oliveoilsenriched,3
pivotal,3
signals,3
supsupcasupsup,3
major,3
cause,3
paradoxical,3
regularfasted,3
insulinotropic,3
fluoxetine,3
counteract,3
crucial,3
downregulates,3
stimulatory,3
corrects,3
severe,3
altered,3
local,3
circulation,3
approach,3
nts,3
circulatory,3
intrinsic,3
periods,3
micrornas,3
regulate,3
infiltration,3
correlates,3
decline,3
impairing,3
diabetesinduced,3
enhanced,3
triggers,3
administered,3
along,3
myotubes,3
lipidenriched,3
similar,3
treated,3
decrease,3
lactating,3
accompanied,3
irsakt,3
mefa,3
mefd,3
contractioninduced,3
glycolytic,3
lowsalt,3
implantation,3
