word,count
the,6576
of,5381
and,4829
in,3782
to,2381
a,1963
with,1370
for,1194
cells,1109
by,1087
that,1075
was,1008
were,946
is,926
as,860
this,674
cell,600
an,591
we,587
are,561
from,553
on,511
expression,411
these,406
or,381
treatment,350
be,347
have,322
p,312
at,301
study,287
also,286
gene,282
mice,282
after,279
which,274
human,272
results,271
using,263
new,254
not,254
stem,252
their,240
cancer,239
effects,237
development,222
therapy,219
drug,219
response,216
patients,216
all,215
been,214
il,213
activity,213
used,212
its,209
has,200
t,199
protein,198
showed,197
both,191
observed,191
dna,184
different,183
may,180
increased,177
immune,176
effect,176
associated,176
against,176
chemotherapy,174
induced,172
our,171
such,168
disease,164
tumor,164
vitro,163
lung,162
cd,162
drugs,158
potential,157
use,157
levels,157
genes,157
reduced,153
can,152
proteins,148
but,148
b,147
into,144
role,143
most,143
it,142
mesenchymal ,140
tissue,140
compared,139
present,137
during,137
several,136
fa,134
increase,133
control,131
studies,131
production,131
function,129
important,128
more,128
immunotherapy,127
h,123
bone,121
therapeutic,121
analysis,120
than,120
mechanisms,118
resistance,118
diseases,118
high,118
well,118
inflammation,117
c,117
vivo,116
rats,116
however,115
methods,115
proliferation,114
found,114
one,114
other,114
inflammatory,113
natural,112
data,110
no,110
pharmacokineticss,109
elsevier,109
group,109
only,109
two,106
evaluated,106
peptide,105
clinical,104
growth,103
model,103
products,103
specific,103
survival,102
between,102
m,102
involved,100
when,100
respectively,100
compounds,98
significant,98
animals,98
skin,97
treated,97
could,97
thus,97
obtained,97
cellular,95
addition,95
renal,94
activation,94
first,94
effective,93
molecular,92
allergic,92
differentiation,92
number,92
exposure,91
here,91
reserved,90
muscle,89
target,89
mscs,89
investigated,88
rights,88
factor,87
pathway,87
responses,86
isolated,86
molecules,86
promising,85
further,85
some,84
delivery,83
blood,83
presence,83
administration,82
novel,82
time,82
had,82
parasite,82
type,81
l,81
death,80
peptides,80
show,80
identified,80
higher,80
d,80
acute,79
repair,79
ltd,79
related,79
days,78
decreased,78
infection,77
species,77
antigens,77
pathways,77
factors,77
significantly,77
damage,76
approach,76
groups,76
due,76
society,76
cytokines,75
demonstrated,74
while,74
synthesis,73
macrophages,73
intracellular,73
system,73
therefore,72
inc,72
there,72
including,72
acid,71
properties,71
falciparum,71
findings,71
antibodies,70
ifn,70
three,70
known,70
plasma,69
targets,69
work,69
formation,68
conclusion,68
revealed,68
biological,67
process,67
expressed,67
recombinant,66
antigen,66
chronic,66
low,66
through,66
infected,66
functional,65
experimental,65
mass,65
vaccine,65
inhibition,65
major,65
able,65
parasites,65
performed,65
regulatory,64
strains,64
although,64
reduction,64
suggest,64
th,63
injury,62
receptor,62
apoptosis,62
signaling,62
presented,62
aim,62
method,61
review,61
e,61
genome,61
biosynthesis,61
they,61
tested,61
background,61
leishmania,60
melanoma,60
based,60
caused,60
concentrations,60
culture,59
combined,59
discovery,59
detected,59
over,59
oral,58
kidney,58
decrease,58
changes,58
assay,58
evaluate,58
malaria,57
combination,57
weeks,57
provide,57
similar,57
conclusions,57
cytotoxic,56
lines,56
characterized,56
adipose,55
mouse,55
active,55
plasmodium,55
et,55
al,55
total,54
marrow,54
de,54
did,54
phase,54
described,54
concentration,54
skeletal,53
marine,53
ability,53
those,53
analyzed,53
suggesting,53
receptors,52
recent,52
will,52
cruzi,51
migration,51
main,51
antifungal,51
systems,51
shown,51
genetic,51
types,51
under,51
previously,51
within,51
markers,50
oxidative,50
antibody,50
being,50
among,50
lower,50
positive,50
samples,50
because,50
metronidazole,49
stromal,49
metabolism,49
induce,49
association,49
g,49
leishmaniasis,48
insulin,48
tumors,48
regulation,48
technology,48
phenotype,48
source,48
improved,48
moreover,48
together,48
studied,48
highly,48
approaches,48
fold,48
injection,47
activities,47
produced,47
strategies,47
without,47
msc,47
developed,47
release,47
bv,47
resulted,47
research,47
stress,46
dendritic,46
inhibitors,46
agents,46
indicate,46
whereas,46
authors,46
report,46
furthermore,46
inhibitor,45
primary,45
brasiliensis,45
efficacy,45
progression,45
essential,45
enzymes,45
mechanism,45
sequence,45
induction,45
lipid,44
infections,44
host,44
investigate,44
since,44
either,44
conditions,44
strategy,44
years,44
inhibited,44
rat,43
spectrometry,43
single,43
via,43
membrane,43
antitumor,43
level,43
mrna,43
many,43
surface,43
assessed,43
rate,43
uptake,43
severe,42
product,42
liquid,42
chemical,42
nanoparticles,42
fibrosis,42
adult,42
brazilian,42
mirnas,42
profile,42
systemic,42
very,42
health,42
protective,42
lymphocytes,42
n,42
cycle,41
strain,41
leading,41
male,41
available,41
indicated,41
