word,count
the,61733
of,48925
and,45730
in,39692
to,20353
a,15527
with,12417
by,12106
that,10067
was,9882
were,9811
for,7432
is,7034
cells,6545
as,6036
this,5288
on,5257
we,5193
from,4990
rats,4702
or,4572
an,4539
expression,4207
mice,4119
these,3917
not,3681
are,3621
cell,3595
increased,3446
at,3416
after,3206
levels,3044
activity,2970
p,2912
results,2875
be,2627
treatment,2600
also,2588
which,2553
study,2540
effects,2511
t,2431
protein,2398
response,2354
inflammation,2347
both,2326
il,2323
but,2213
control,2145
no,2111
effect,2100
induced,2078
have,2031
observed,2017
reduced,1955
patients,1942
role,1914
all,1893
tumor,1882
chronic,1795
may,1793
associated,1764
showed,1744
group,1700
increase,1699
activation,1650
insulin,1629
compared,1629
inflammatory,1615
been,1580
receptor,1570
production,1570
disease,1548
animals,1548
gene,1545
during,1545
tissue,1543
our,1532
has,1514
cancer,1475
present,1460
h,1448
cd,1439
blood,1402
it,1402
human,1397
responses,1376
its,1355
however,1354
using,1341
between,1334
decreased,1307
b,1295
acute,1293
vascular,1291
days,1283
into,1279
immune,1275
muscle,1266
development,1260
higher,1250
significantly,1250
c,1247
than,1244
groups,1233
factor,1227
involved,1214
their,1210
changes,1188
different,1188
dna,1187
function,1185
data,1177
lung,1163
elsevier,1157
can,1152
evaluated,1149
mechanisms,1141
investigated,1131
found,1127
high,1117
used,1117
such,1117
infection,1115
when,1113
other,1086
important,1083
did,1079
model,1077
well,1064
suggest,1064
analysis,1060
two,1033
significant,1032
m,1017
tnf,1003
system,996
resistance,994
genes,985
treated,983
mrna,979
studies,967
growth,957
proteins,956
pressure,943
exercise,939
against,938
glucose,933
more,929
macrophages,926
renal,922
neurons,919
presence,904
only,892
receptors,890
reserved,885
rights,883
rat,870
nitric,867
signaling,864
male,858
oxide,842
addition,841
inhibition,837
methods,823
serum,818
respectively,817
et,811
number,811
vitro,807
acid,796
had,795
several,789
cytokines,787
stress,786
hypertension,778
findings,776
reduction,773
n,770
plasma,769
heart,767
vivo,765
training,763
most,763
show,761
pathway,758
potential,749
could,748
similar,736
conclusion,733
inhibitor,729
new,718
fold,717
experimental,714
venom,705
injury,700
injection,697
specific,696
here,693
day,688
whereas,686
th,679
clinical,679
caused,678
one,675
inc,675
release,672
g,668
through,658
brain,649
society,649
species,645
ltd,645
type,644
related,644
central,642
liver,641
apoptosis,639
lower,639
there,636
cardiac,635
s,635
adipose,632
molecular,631
synthesis,631
isolated,625
ii,622
low,619
cruzi,616
content,615
while,615
first,612
lines,611
infected,610
time,609
antibodies,608
decrease,607
exposure,602
thus,602
some,601
rate,600
wistar,599
oxidative,597
nucleus,597
diseases,596
administration,595
demonstrated,594
including,591
damage,585
diabetic,585
e,584
detected,582
although,579
proliferation,578
pain,577
samples,576
indicate,573
mouse,571
ifn,570
shown,564
weight,563
mechanism,563
studied,563
lesions,562
investigate,561
obtained,558
performed,557
due,555
allergic,554
whether,552
therapy,550
endothelial,549
bone,549
revealed,548
factors,547
either,547
controls,544
d,544
al,543
tlr,538
therapeutic,538
normal,537
determined,536
known,536
presented,536
cellular,535
metabolism,535
concentrations,534
memory,531
repair,530
total,528
suggesting,527
evaluate,526
pathways,525
necrosis,523
those,523
mgkg,522
produced,521
measured,521
death,519
expressed,518
further,518
use,516
skeletal,513
body,512
lps,512
three,512
therefore,512
parasite,510
aim,505
inhibited,500
shr,499
peripheral,499
secretion,496
weeks,494
without,493
analyzed,489
characterized,488
process,480
moreover,480
skin,478
following,478
proinflammatory,476
background,476
systemic,475
conditions,474
lname,472
association,472
tissues,472
induction,472
female,471
regulation,471
formation,467
under,467
cytokine,466
evidence,466
molecules,464
survival,464
among,464
early,462
adult,460
concentration,460
dysfunction,457
lymphocytes,456
strains,456
phase,453
sensitivity,453
major,452
american,450
antagonist,449
tested,448
neutrophils,447
phosphorylation,446
region,445
functional,445
