word,count
the,58717
of,48291
and,40899
in,33381
to,19846
a,15801
with,12009
by,10495
that,9559
were,9496
was,8451
for,8285
is,7317
from,6647
as,6069
cells,5475
this,5439
we,5123
mice,4462
on,4355
an,4189
are,4144
or,4041
these,3786
t,3431
infection,3068
be,3062
not,2926
p,2845
cell,2679
protein,2608
results,2585
at,2581
which,2557
expression,2541
study,2419
inflammation,2347
il,2295
response,2217
have,2210
also,2209
all,2132
after,2068
gene,2065
levels,2064
cruzi,1991
disease,1970
immune,1956
activity,1948
patients,1946
cd,1909
strains,1891
human,1864
but,1846
both,1838
increased,1804
b,1750
been,1740
production,1693
may,1670
observed,1666
using,1665
showed,1659
genes,1652
treatment,1649
role,1647
associated,1630
has,1611
different,1602
their,1552
two,1514
malaria,1511
no,1503
against,1493
species,1488
brazil,1478
our,1469
parasite,1458
inflammatory,1429
c,1422
trypanosoma,1411
found,1374
present,1369
analysis,1361
between,1360
isolates,1352
plasmodium,1343
control,1329
used,1328
other,1326
during,1323
responses,1317
antibodies,1314
it,1313
proteins,1308
dna,1301
its,1292
samples,1288
infected,1282
effects,1272
induced,1234
high,1225
group,1223
can,1204
than,1193
activation,1187
rats,1173
development,1168
virus,1148
important,1143
macrophages,1138
presence,1134
compared,1129
such,1125
data,1123
animals,1123
most,1117
acute,1103
host,1071
effect,1058
however,1057
when,1056
one,1054
more,1053
blood,1052
new,1048
lung,1044
parasites,1043
leishmania,1015
reduced,1015
resistance,1006
tissue,1006
infections,1001
l,976
higher,968
vaccine,967
detected,953
elsevier,951
evaluated,945
specific,944
clinical,943
bacterial,939
into,939
studies,935
immunity,931
involved,928
well,922
m,917
only,906
factor,901
strain,897
system,896
h,895
isolated,883
first,883
three,880
coli,877
tnf,869
recombinant,868
genetic,866
chronic,861
several,860
could,857
reserved,849
identified,847
molecular,846
model,846
rights,845
falciparum,844
serum,839
vitro,836
among,830
bacteria,824
increase,824
vivax,820
antibody,815
had,815
e,812
suggest,810
cytokines,809
number,806
significantly,805
s,791
receptor,788
methods,785
mechanisms,777
here,776
investigated,775
growth,770
ifn,766
days,765
groups,764
type,756
significant,751
surface,747
show,742
n,716
potential,716
addition,715
sequence,707
antigen,703
pcr,703
experimental,699
revealed,693
major,681
tumor,678
did,678
region,673
et,673
igg,670
related,669
obtained,667
some,664
al,663
acid,658
sequences,653
similar,653
th,650
diseases,650
tlr,649
low,635
decreased,635
positive,631
although,630
expressed,627
use,625
including,620
gondii,619
antigens,615
respectively,612
vivo,609
society,603
brazilian,599
function,597
ltd,596
protective,594
characterized,594
demonstrated,590
insulin,589
findings,588
caused,584
genome,576
presented,574
thus,572
time,570
known,569
those,569
mouse,568
through,568
treated,566
previously,566
american,562
pathway,562
factors,560
lps,558
shown,557
allergic,552
escherichia,541
while,539
tested,537
there,535
total,533
diversity,532
based,532
cancer,529
fungal,528
cytokine,525
signaling,522
cellular,521
analyzed,520
determined,517
performed,512
able,511
due,508
indicate,505
further,505
test,503
conclusion,503
produced,501
assay,499
leishmaniasis,496
population,496
conditions,496
molecules,493
described,493
innate,489
lower,483
under,483
background,480
inhibition,479
chagas,476
changes,475
whereas,472
receptors,471
stress,470
moreover,468
i,468
lesions,467
highly,466
therapeutic,465
severe,458
therefore,458
systemic,456
intracellular,456
respiratory,454
challenge,453
