word,count
the,32274
of,25475
and,25103
in,21495
to,10297
a,7969
by,6294
was,5406
with,5347
were,5264
that,5171
for,4039
is,3876
insulin,3774
rats,3705
as,3032
on,3017
this,2670
from,2496
we,2435
an,2424
expression,2354
cells,2269
glucose,2215
or,2166
increased,2159
these,2025
at,2012
not,1939
are,1895
levels,1713
protein,1699
activity,1657
p,1572
control,1515
exercise,1500
after,1496
mice,1447
metabolism,1398
cell,1393
be,1393
effect,1390
muscle,1376
study,1347
results,1341
also,1335
which,1335
effects,1326
group,1212
reduced,1200
both,1161
tissue,1145
treatment,1143
but,1123
role,1069
have,1044
during,1036
increase,1021
resistance,1015
production,978
may,975
observed,974
diabetes,969
metabolic,967
induced,947
all,924
c,917
changes,904
response,901
diet,900
diabetic,900
groups,889
training,883
adipose,872
acid,866
animals,854
gene,848
present,848
function,845
been,841
however,839
has,838
secretion,835
content,835
no,831
it,829
mitochondrial,823
associated,810
showed,802
decreased,799
t,799
compared,793
fatty,772
receptor,756
h,755
liver,752
glut,744
il,742
involved,742
its,733
high,727
higher,711
into,697
between,695
mrna,680
activation,677
important,677
obesity,675
investigated,671
different,658
inflammation,653
body,649
using,649
rat,645
when,643
skeletal,641
acids,633
our,630
blood,625
than,625
weight,622
proteins,617
islets,611
leptin,606
genes,601
days,596
such,588
plasma,587
growth,582
did,577
data,576
melatonin,573
inflammatory,570
presence,566
well,560
their,560
suggest,559
found,555
male,553
pancreatic,551
tumor,549
mechanisms,544
reduction,543
development,541
elsevier,541
pathway,537
analysis,536
can,531
rate,527
two,526
patients,526
signaling,523
n,522
used,521
significantly,521
macrophages,520
other,520
m,516
sensitivity,506
phosphorylation,503
studies,501
significant,495
only,495
several,479
lipid,477
synthesis,477
evaluated,473
system,472
wistar,469
type,468
chronic,462
isolated,457
stress,456
energy,454
species,449
concentration,445
acute,439
methods,439
addition,436
factor,435
findings,434
oxidative,430
uptake,425
respectively,423
cancer,421
more,421
temperature,420
membrane,418
low,416
treated,416
decrease,416
fat,414
inhibition,412
human,409
weeks,409
mm,409
heart,406
disease,405
tnf,405
b,404
kinase,403
obese,402
concentrations,401
supplementation,400
related,398
inc,397
lower,393
there,390
conclusion,388
society,386
d,386
rights,386
reserved,385
model,384
fed,384
show,380
responses,379
release,376
lymphocytes,374
conditions,372
potential,370
glutamine,370
immune,369
cachexia,368
pathways,365
similar,365
mitochondria,357
mass,357
cytokines,355
neurons,355
s,355
dna,354
oxygen,354
factors,353
had,352
vivo,347
pressure,346
et,346
could,345
total,342
vitro,341
tissues,340
serum,339
apoptosis,338
ltd,338
renal,335
day,334
studied,334
caused,333
brain,329
regulation,329
number,329
controls,329
determined,329
food,328
i,327
most,326
whereas,324
presented,324
female,321
mechanism,321
g,319
intracellular,318
including,317
physiological,316
indicate,315
oxidation,314
enzyme,314
under,313
through,312
ca,311
either,311
activities,311
vascular,310
cardiac,310
performed,309
exposure,308
intake,307
investigate,307
nitric,306
diseases,306
impaired,306
shown,306
trained,306
ii,305
physical,303
evidence,303
central,302
lps,302
measured,300
some,300
time,299
oxide,298
demonstrated,297
thus,297
although,296
alterations,295
fold,295
adipocytes,294
molecular,294
here,293
due,292
while,292
one,291
known,291
whether,290
increases,289
neutrophils,288
sedentary,288
normal,287
homeostasis,286
aim,285
irs,283
experimental,283
superoxide,282
new,281
enzymes,279
inhibitor,279
offspring,277
early,275
hormone,275
those,275
ros,272
dysfunction,272
e,272
process,272
copyright,272
hepatic,270
receptors,269
capacity,269
parameters,267
oxidase,266
revealed,266
therefore,266
samples,266
synthase,265
min,265
without,264
glycogen,263
nadph,261
obtained,259
al,259
identified,258
mellitus,257
administration,257
shr,256
death,255
ratio,255
examined,255
analyzed,255
profile,253
cellular,253
action,253
diets,252
proliferation,252
key,252
reactive,249
three,248
further,248
specific,247
mgkg,247
association,246
evaluate,246
amino,244
improved,243
macrophage,242
period,242
hypertension,239
loss,239
against,239
akt,238
highfat,238
first,238
cycle,234
suggesting,232
tumour,231
injection,231
per,230
hypothalamic,229
via,229
enhanced,227
nucleus,224
mesenteric,223
possible,223
following,223
hypothalamus,222
functional,222
transport,221
adult,221
characterized,221
walker,220
detected,220
might,219
generation,218
change,218
endothelial,217
level,216
differences,216
stimulation,215
induces,215
each,215
american,214
major,213
expressed,213
assessed,213
gland,212
reported,212
complex,211
area,211
values,211
mg,210
main,209
hfd,209
before,209
play,209
soleus,207
cardiovascular ,207
modulation,207
exhibited,207
dietary,206
review,206
thyroid,206
oil,205
tolerance,205
cytokine,205
test,205
conclusions,205
background,205
basal,203
previously,203
ppar,202
pineal,201
lactate,201
infection,201
same,201
nfb,199
proinflammatory,198
vs,197
processes,197
clinical,196
authors,196
contrast,195
fever,195
peripheral,195
pregnancy,194
systemic,194
ph,192
th,192
affect,192
formation,192
plays,192
among,192
binding,191
four,191
since,191
they,191
use,190
absence,190
r,190
cholesterol,189
bat,189
rates,189
kidney,188
many,188
western,187
accompanied,187
together,187
damage,185
contribute,185
within,185
sympathetic,184
consumption,184
functions,184
elevated,184
microscopy,183
submitted,183
white,182
maternal,181
muscles,180
substrate,180
water,180
furthermore,180
l,178
lymphocyte,178
medium,178
age,177
upon,177
tested,177
stimulated,176
phase,175
peptides,174
restriction,174
state,174
aerobic,174
hf,174
dehydrogenase,173
induce,173
received,173
lung,172
strains,172
single,172
about,172
altered,171
moreover,171
affected,171
feeding,170
necrosis,170
assay,170
nuclear,170
transcription,168
electron,167
andor,167
sodium,166
survival,166
able,166
target,165
mouse,165
drug,165
produced,165
work,163
accumulation,163
incorporation,163
co,163
tyrosine,162
objective,162
balance,161
recent,161
calcium,160
collagen,160
dose,160
influence,160
induction,160
bv,160
tb,160
palmitate,159
fasting,159
essential,159
novel,159
extracellular,158
therapy,158
direct,158
sc,158
components,157
inhibited,157
antioxidant,156
iv,156
syndrome,156
therapeutic,156
wiley,156
ko,156
collected,156
increasing,155
free,154
lipids,154
markers,154
source,154
restored,154
slca,153
gh,153
active,153
provide,153
pyruvate,152
divided,152
arterial,151
cd,151
maximal,151
experiments,151
followed,151
any,151
transporter,150
peptide,149
hours,149
behavior,148
part,148
then,148
injury,147
neutrophil,147
lactation,147
daily,146
animal,146
indicating,146
being,146
o,146
week,146
bacterial,145
culture,145
cpt,145
exposed,145
incubated,145
ability,145
despite,145
incubation,144
method,143
region,143
surface,143
leucine,142
parasite,142
small,142
intrauterine,141
described,141
hr,141
wat,141
analyses,140
signal,140
antiinflammatory,140
cruzi,139
relative,139
less,139
phosphate,138
cox,138
beneficial,138
healthy,138
hypothesis,138
mean,138
health,137
sequence,137
promoted,137
considered,137
demonstrate,137
status,136
host,136
respiratory,136
chain,136
activated,136
ir,136
glutamate,135
bone,135
adipocyte,135
containing,135
bicarbonate,134
understanding,134
months,134
biosynthesis,133
causes,133
leading,133
prevented,133
partially,133
previous,133
fish,132
models,132
index,132
longterm,132
marked,132
suggests,132
indicated,132
fa,132
failure,131
importance,131
subjects,131
because,131
condition,131
differentiation,130
distribution,130
determine,130
strain,130
disorders,129
bacteria,129
impact,129
saline,129
metformin,128
blotting,128
treadmill,128
impairment,128
tumorbearing,128
supplemented,128
confirmed,128
positive,128
autonomic,127
biochemical,127
mediated,127
markedly,127
suggested,127
does,127
pge,126
taken,126
mainly,126
resulted,126
flow,125
primary,125
hormones,125
de,125
cause,125
up,125
responsible,125
out,125
aging,124
interaction,124
lname,124
drugs,124
improves,124
improve,124
modulate,124
genome,124
based,124
order,124
dietinduced,123
even,123
nm,123
density,122
atp,122
dependent,122
life,122
pattern,122
properties,122
insulinstimulated,122
purpose,122
glutathione,121
hypertensive,121
oral,121
yeast,121
volume,121
performance,121
moderate,121
biological,121
nos,120
composition,120
phagocytosis,120
immunohistochemistry,120
highly,120
unknown,120
stat,119
inhibitors,119
end,119
distinct,119
wky,119
attenuated,119
iron,118
products,118
reduces,118
additionally,118
aged,117
hyperglycemia,117
risk,117
size,117
types,117
subunit,116
regulate,116
protocol,116
over,116
tgf,115
aimed,115
completely,115
likely,115
if,115
ex,115
inos,114
salivary,114
insulininduced,114
glands,114
regulatory,114
f,114
kg,114
greater,114
erk,113
reactivity,113
molecules,113
venom,113
transcriptional,113
k,113
sites,113
cultured,113
reducing,113
standard,113
probably,113
common,113
science,113
nervous,112
nutritional,112
still,112
pkc,111
lipolysis,111
lipogenesis,111
gain,111
structure,111
ml,111
whole,111
wk,111
areas,110
various,110
john,110
sons,110
recently,110
migration,109
better,109
systems,109
progression,109
least,109
circadian,108
vitamin,108
hypertrophy,108
regulated,108
involvement,108
affects,108
severe,108
amount,108
given,108
reaction,107
females,107
nerve,107
x,107
caspase,107
responsiveness,107
falciparum,107
ep,107
reduce,107
modified,107
assays,107
outflow,106
matrix,106
individuals,106
throughout,106
very,106
ang,106
beta,105
subcutaneous,105
fibers,105
peritoneal,105
alter,105
aspects,105
led,105
neuronal,104
genetic,104
agents,104
subjected,104
rna,104
large,104
socs,103
substrates,103
maintenance,103
comparison,103
sglt,102
adaptation,102
structural,102
doses,102
local,102
regions,102
humans,102
inhibitory,102
treatments,102
deficiency,101
glycemic,101
hypothermia,101
tlr,101
bp,101
correlated,101
range,101
solution,101
endocrine,100
modulates,100
improvement,100
along,100
required,100
family,100
hand,100
result,100
proximal,99
lead,99
multiple,99
actions,99
remained,99
urinary,98
interleukin,98
derived,98
correlation,98
apoptotic,98
conclude,98
map,97
brown,97
parasites,97
circulating,97
enos,96
seems,96
glycemia,95
measurements,95
ucp,95
msg,95
isolates,95
generated,95
effective,95
them,95
potassium,94
environmental,94
cold,94
underlying,94
where,94
stimulus,93
recovery,93
brazil,93
regulates,93
sequences,93
site,93
manner,93
abolished,93
plus,93
difference,93
maintained,93
times,93
wt,93
ffa,93
angiotensin,92
intolerance,92
utilization,92
exercised,92
agent,92
published,92
proposed,92
so,92
redox,91
skin,91
mutants,91
form,91
deletion,91
mediators,91
support,91
research,91
ho,91
shows,91
leukocyte,90
carnitine,90
plasmodium,90
adaptations,90
stimuli,90
light,90
pharmacological,90
pregnant,90
phenotype,90
current,90
compounds,90
resulting,90
spontaneously,89
mutant,89
infections,89
adiponectin,89
distal,89
decreases,89
remains,89
understood,89
fragmentation,89
how,89
signalling,88
transmission,88
acetylcholine,88
maximum,88
independent,88
infusion,88
directly,88
showing,88
unchanged,88
identify,88
transporters,87
transduction,87
produce,87
targets,87
protective,87
leads,87
contributes,87
finally,87
temperatures,86
creatine,86
morphology,86
sepsis,86
adiposity,86
secretory,86
viability,86
parallel,86
report,86
chow,86
herein,86
degradation,86
infected,86
malnutrition,85
polyunsaturated,85
shock,85
administered,85
assess,85
regarding,85
displayed,85
pd,85
carried,85
injected,85
fetal,84
peroxidase,84
critical,84
fully,84
characteristics,84
combination,84
occurred,84
limited,84
aims,84
fo,84
occur,84
randomly,84
will,84
lipopolysaccharide,83
natural,83
events,83
phagocytic,83
onset,83
blockade,83
additional,83
intestinal,82
hydrogen,82
gluconeogenesis,82
dexamethasone,82
ethanol,82
lymph,82
repair,82
expenditure,82
media,82
stages,82
morphological,82
gkg,82
few,82
developed,82
licensee,82
organisms,82
phox,82
little,82
upregulated,82
conversion,82
glycolysis,81
leukocytes,81
dismutase,81
antagonist,81
ip,81
restricted,81
involves,81
stimulates,81
exogenous,81
antibody,81
putative,81
do,81
strongly,81
us,81
peroxide,80
efflux,80
contraction,80
undernutrition,80
rtpcr,80
pcr,80
glutaminase,80
old,80
interactions,80
intensity,80
modulated,80
promote,80
acetate,80
rapid,80
wildtype,80
islet,79
aorta,79
trypanosoma,79
line,79
differential,79
malaria,79
laser,79
contribution,79
biology,79
infiltration,79
according,79
possibly,79
springerverlag,79
occurs,79
oa,79
environment,79
pa,79
adhesion,78
hypoxia,78
gestational,78
camp,78
organs,78
chromatography,78
significance,78
reabsorption,77
corticosterone,77
children,77
brazilian,77
would,77
considering,77
particularly,77
latter,77
gc,77
assigned,77
carbohydrate,76
gavage,76
tubule,76
strength,76
capable,76
v,75
sensitive,75
coli,75
endurance,75
agonist,75
long,75
neonatal,75
fasted,75
glucoseinduced,75
inhibits,75
nondiabetic,75
prevent,75
established,75
sod,75
reversed,75
especially,75
killed,75
acidification,74
adrenergic,74
er,74
saturated,74
palmitic,74
cytochrome,74
salt,74
placental,74
encoding,74
intense,74
cultures,74
later,74
tubular,73
permeability,73
streptozotocin,73
uncoupling,73
na,73
knockout,73
citrate,73
epithelial,73
program,73
pi,73
periods,73
specifically,73
gastrocnemius,73
roles,73
affecting,73
stage,73
women,73
intraperitoneal,73
six,73
ie,73
igfi,73
ot,73
left,72
arterioles,72
hexokinase,72
motor,72
prolonged,72
susceptibility,72
spleen,72
spectrometry,72
tc,72
participation,72
short,72
combined,72
upregulation,72
linked,72
structures,72
fraction,72
information,72
resting,72
years,72
transfer,71
trpv,71
carbon,71
population,71
gsis,71
lean,70
metabolites,70
promotes,70
modulating,70
diminished,70
interestingly,70
distributed,70
variety,70
stem,69
perfused,69
future,69
second,69
rise,69
meat,69
concluded,69
located,69
fact,69
fractions,69
flux,68
meal,68
decarboxylation,68
nutrients,68
cyclooxygenase,68
point,68
plant,68
frequency,68
triacylglycerol,68
alone,68
relationship,68
overexpression,68
strategies,68
protection,68
similarly,68
detection,68
act,68
nuclei,67
glycerol,67
wound,67
set,67
young,67
cortical,67
approach,67
translocation,67
pathogenesis,67
lines,67
relation,67
versus,67
understand,67
neither,67
poorly,67
approaches,67
lglutamine,66
ras,66
fluid,66
chemical,66
caloric,66
quality,66
mammalian,66
steps,66
reproductive,66
endogenous,66
cbl,66
late,66
indicates,66
necessary,66
relevant,66
blocked,66
seen,66
biomed,66
retroperitoneal,66
iii,66
alteration,66
pvn,66
allergic,65
subunits,65
channels,65
session,65
cognitive,65
load,65
visceral,65
pinealectomized,65
lpsinduced,65
differentially,65
include,65
tests,65
involve,65
ag,65
summary,65
highest,65
component,65
challenge,65
selected,65
appears,65
field,65
available,65
nor,65
raised,65
ad,65
ngml,65
epinephrine,64
remodeling,64
glucosephosphate,64
nhe,64
thermogenesis,64
tg,64
profiles,64
tumourbearing,64
disruption,64
cytosolic,64
negative,64
suppression,64
sf,64
epididymal,64
serine,64
blot,64
stz,64
clock,63
rosiglitazone,63
arginine,63
mortality,63
leishmania,63
processing,63
myocardial,63
phosphatidylinositol,63
adaptive,63
resistant,63
aortic,63
lack,63
deposition,63
patterns,63
approximately,63
five,63
numerous,63
overall,63
discuss,63
features,63
aldh,63
pinealectomy,62
rb,62
monosodium,62
denervation,62
fibrosis,62
nodes,62
catalase,62
antibodies,62
ace,62
activates,62
application,62
regulating,62
secreted,62
complete,62
explain,62
consequence,62
presents,62
pik,61
heat,61
healing,61
transition,61
outer,61
translation,61
td,61
evaluation,61
shortterm,61
ta,61
pronounced,61
pathological,61
pinx,61
immunoblotting,61
cytotoxic,61
hc,61
males,61
mi,61
rm,61
fractional,60
anion,60
reverse,60
palmitoyltransferase,60
nitrogen,60
cerevisiae,60
myd,60
signals,60
integrity,60
inducing,60
glycolytic,60
contributing,60
luminal,60
general,60
evoked,60
should,60
until,60
ion,59
microvascular,59
memory,59
lesions,59
physiology,59
aspartate,59
promoter,59
cart,59
design,59
glucosestimulated,59
molecule,59
toxicity,59
cachectic,59
compound,59
bw,59
widely,59
provided,59
eg,59
added,59
tdm,59
yet,59
ng,59
norepinephrine,58
red,58
cortex,58
axis,58
activator,58
prolactin,58
deleterious,58
j,58
rich,58
measurement,58
cr,58
proportion,58
secondary,58
monthold,58
normalized,58
cytoplasmic,58
selective,58
cytoplasm,58
sham,58
dm,58
soybean,57
realtime,57
genomic,57
shift,57
behavioral,57
extracts,57
liquid,57
downregulation,57
independently,57
intact,57
unique,57
last,57
depots,57
running,57
open,57
receiving,57
much,57
product,57
discussed,57
diversity,57
rapamycin,56
bradykinin,56
arachidonic,56
ampk,56
histological,56
prevention,56
indomethacin,56
contractile,56
dyslipidemia,56
recombinant,56
alternative,56
consistent,56
decreasing,56
improving,56
identification,56
inducible,56
initial,56
cases,56
occurrence,56
corrected,56
mo,56
pm,56
rt,56
reductase,55
isoforms,55
nutrition,55
surgery,55
reticulum,55
mothers,55
prevents,55
states,55
st,55
baseline,55
stimulate,55
represent,55
knowledge,55
rest,55
mmhg,55
average,55
like,54
progressive,54
deprivation,54
susceptible,54
impairs,54
oleic,54
availability,54
weaning,54
kept,54
maintain,54
potent,54
nmol,54
mmoll,54
predicted,54
ams,54
tag,54
immunity,53
bladder,53
partial,53
preventing,53
developing,53
ap,53
acutely,53
promising,53
pb,53
percentage,53
international,53
strategy,53
karger,53
inhibit,53
observations,53
u,53
interval,53
kda,53
involving,53
pups,53
processed,53
pc,53
elisa,53
implicated,53
endothelium,52
baroreflex,52
vegf,52
complications,52
prostaglandin,52
pain,52
transcript,52
symptoms,52
heme,52
inner,52
gut,52
muscular,52
enhances,52
crucial,52
adulthood,52
absorption,52
gestation,52
neutral,52
populations,52
regular,52
inoculated,52
reveal,52
vehicle,52
value,52
minutes,52
hypothesized,52
night,52
recognized,52
dams,52
immediately,52
cc,52
bay,52
ci,52
la,52
edl,52
excretion,51
peroxidation,51
arteriolar,51
trophoblast,51
autophagy,51
gsk,51
quantitative,51
relaxation,51
ec,51
adipokines,51
lipoprotein,51
triglycerides,51
palmitoleic,51
controlled,51
laboratory,51
linoleic,51
duration,51
nutrient,51
enzymatic,51
intravenous,51
included,51
publishers,51
bal,51
springer,51
strong,51
removal,51
staining,51
internal,51
stability,51
cent,51
lepr,51
propionate,50
cyclic,50
albumin,50
lipase,50
thymus,50
inflammasome,50
mtorc,50
hsd,50
conserved,50
length,50
prior,50
depolarization,50
ifn,50
ct,50
fungi,50
fungal,50
basel,50
stationary,50
evidenced,50
analyze,50
forms,50
typical,50
ovx,50
certain,50
nitroprusside,50
iugr,50
sm,50
tr,50
purified,50
hs,50
formulation,50
tetrahydrobiopterin,49
variability,49
glioma,49
tick,49
intestine,49
excess,49
scanning,49
soluble,49
endotoxin,49
channel,49
q,49
novo,49
nlrp,49
nts,49
